Chrom	Start	End	cdsStart	cdsEnd	Strand	ensemblGeneID	ensemblTranscriptID	ensemblProteinID	Gene	GeneLength	cdsLength	Coding
chr1	955502	991496	955552	990361	+	ENSG00000188157	ENST00000379370	ENSP00000368678	AGRN	35994	34809	Coding
chr1	995113	1001836	1001836	1001836	+	ENSG00000217801	ENST00000427998		AK310350	6723	0	Non-Coding
chr1	1006345	1009687	1007196	1007946	-	ENSG00000237330	ENST00000453464	ENSP00000410533	RNF223	3342	750	Coding
chr1	1017197	1051736	1018272	1026923	-	ENSG00000131591	ENST00000294576	ENSP00000294576	C1orf159	34539	8651	Coding
chr1	1072396	1079436	1079436	1079436	+	ENSG00000223823	ENST00000416774		LOC254099	7040	0	Non-Coding
chr1	1102483	1102578	1102578	1102578	+	ENSG00000207730	ENST00000384997		MIR200B	95	0	Non-Coding
chr1	1103242	1103332	1103332	1103332	+	ENSG00000207607	ENST00000384875		MIR200A	90	0	Non-Coding
chr1	1104384	1104467	1104467	1104467	+	ENSG00000198976	ENST00000362106		MIR429	83	0	Non-Coding
chr1	1108435	1114935	1114935	1114935	-	ENSG00000205231	ENST00000379317		AK128833	6500	0	Non-Coding
chr1	1109282	1133315	1114595	1133227	+	ENSG00000162571	ENST00000379290	ENSP00000368592	TTLL10	24033	18632	Coding
chr1	1138890	1142071	1139223	1141951	-	ENSG00000186891	ENST00000379268	ENSP00000368570	TNFRSF18	3181	2728	Coding
chr1	1146705	1149512	1146934	1149507	-	ENSG00000186827	ENST00000379236	ENSP00000368538	TNFRSF4	2807	2573	Coding
chr1	1152310	1167411	1153049	1164173	-	ENSG00000078808	ENST00000263741	ENSP00000263741	SDF4	15101	11124	Coding
chr1	1167628	1170421	1167658	1168648	+	ENSG00000176022	ENST00000379198	ENSP00000368496	B3GALT6	2793	990	Coding
chr1	1177832	1182102	1177927	1182070	-	ENSG00000184163	ENST00000330388	ENSP00000329137	FAM132A	4270	4143	Coding
chr1	1189288	1209233	1201669	1203372	-	ENSG00000160087	ENST00000450390	ENSP00000407565	UBE2J2	19945	1703	Coding
chr1	1215815	1227399	1216041	1226990	+	ENSG00000162572	ENST00000379116	ENSP00000368411	SCNN1D	11584	10949	Coding
chr1	1227755	1243398	1228943	1243195	-	ENSG00000131584	ENST00000354700	ENSP00000346733	ACAP3	15643	14252	Coding
chr1	1243946	1247057	1244023	1246759	+	ENSG00000169972	ENST00000379031	ENSP00000368318	PUSL1	3111	2736	Coding
chr1	1246976	1260071	1247238	1259988	-	ENSG00000127054	ENST00000435064	ENSP00000413493	CPSF3L	13095	12750	Coding
chr1	1260146	1264277	1262290	1263143	+	ENSG00000224051	ENST00000343938	ENSP00000343890	GLTPD1	4131	853	Coding
chr1	1266693	1270686	1266725	1269844	+	ENSG00000169962	ENST00000339381	ENSP00000344411	TAS1R3	3993	3119	Coding
chr1	1270655	1284730	1271521	1284445	-	ENSG00000107404	ENST00000378888	ENSP00000368166	DVL1	14075	12924	Coding
chr1	1288071	1297157	1288983	1296643	-	ENSG00000162576	ENST00000477278	ENSP00000436135	MXRA8	9086	7660	Coding
chr1	1309109	1310875	1309180	1310136	-	ENSG00000175756	ENST00000338338	ENSP00000340656	AURKAIP1	1766	956	Coding
chr1	1321878	1334689	1334689	1334689	-	ENSG00000221978	ENST00000496007		CCNL2	12811	0	Non-Coding
chr1	1334906	1337426	1334931	1335670	+	ENSG00000224870	ENST00000444362	ENSP00000461720	LOC148413	2520	739	Coding
chr1	1337287	1342693	1337462	1342597	-	ENSG00000242485	ENST00000344843	ENSP00000341082	MRPL20	5406	5135	Coding
chr1	1353799	1357149	1354613	1356385	-	ENSG00000235098	ENST00000427211	ENSP00000428419	ANKRD65	3350	1772	Coding
chr1	1361507	1363167	1361507	1363167	+	ENSG00000205116	ENST00000378821	ENSP00000455099	TMEM88B	1660	1660	Coding
chr1	1370902	1378262	1374465	1375167	+	ENSG00000179403	ENST00000404702	ENSP00000385008	VWA1	7360	702	Coding
chr1	1385068	1405538	1386063	1403910	+	ENSG00000215915	ENST00000378785	ENSP00000368062	ATAD3C	20470	17847	Coding
chr1	1407148	1431582	1407264	1431197	+	ENSG00000160072	ENST00000308647	ENSP00000311766	ATAD3B	24434	23933	Coding
chr1	1447530	1470065	1447648	1469452	+	ENSG00000197785	ENST00000378756	ENSP00000368031	ATAD3A	22535	21804	Coding
chr1	1470553	1475737	1470738	1475726	-	ENSG00000205090	ENST00000378733	ENSP00000368007	TMEM240	5184	4988	Coding
chr1	1477052	1510249	1477445	1509937	-	ENSG00000160075	ENST00000291386	ENSP00000291386	SSU72	33197	32492	Coding
chr1	1510354	1511373	1510356	1510659	+	ENSG00000215014	ENST00000366221	ENSP00000407048	HP08716	1019	303	Coding
chr1	1533391	1535476	1534714	1535395	-	ENSG00000228594	ENST00000422725	ENSP00000389111	C1orf233	2085	681	Coding
chr1	1550794	1565990	1551010	1565910	+	ENSG00000197530	ENST00000357210	ENSP00000349741	MIB2	15196	14900	Coding
chr1	1567473	1570030	1567597	1570001	+	ENSG00000189409	ENST00000356026	ENSP00000348308	MMP23B	2557	2404	Coding
chr1	1571099	1588714	1571125	1588714	-	ENSG00000248333	ENST00000341832	ENSP00000463048	CDK11B	17615	17589	Coding
chr1	1592939	1624167	1597220	1608138	-	ENSG00000189339	ENST00000234800	ENSP00000234800	SLC35E2B	31228	10918	Coding
chr1	1631368	1633249	1633249	1633249	+	ENSG00000215914	ENST00000412810		MMP23A	1881	0	Non-Coding
chr1	1634174	1669127	1669127	1669127	-	ENSG00000268575	ENST00000598846		CDK11A	34953	0	Non-Coding
chr1	1634319	1655763	1634345	1654257	-	ENSG00000008128	ENST00000358779	ENSP00000351629	CDK11A	21444	19912	Coding
chr1	1656053	1663343	1663343	1663343	+	ENSG00000227775	ENST00000417099		AK097814	7290	0	Non-Coding
chr1	1656276	1677358	1656852	1670996	-	ENSG00000215790	ENST00000355439	ENSP00000347614	SLC35E2	21082	14144	Coding
chr1	1682670	1711508	1684342	1696845	-	ENSG00000008130	ENST00000378625	ENSP00000367890	NADK	28838	12503	Coding
chr1	1716728	1822495	1718769	1756892	-	ENSG00000078369	ENST00000378609	ENSP00000367872	GNB1	105767	38123	Coding
chr1	1846265	1848733	1846719	1848632	+	ENSG00000169885	ENST00000307786	ENSP00000304643	CALML6	2468	1913	Coding
chr1	1849029	1850712	1849320	1850704	-	ENSG00000178821	ENST00000310991	ENSP00000311122	TMEM52	1683	1384	Coding
chr1	1884751	1935276	1935276	1935276	-	ENSG00000142609	ENST00000270720		KIAA1751	50525	0	Non-Coding
chr1	1944651	1946969	1946969	1946969	-	ENSG00000233542	ENST00000443930		AK054708	2318	0	Non-Coding
chr1	1950779	1962192	1950862	1961721	+	ENSG00000187730	ENST00000378585	ENSP00000367848	GABRD	11413	10859	Coding
chr1	1981908	2116834	1982069	2116448	+	ENSG00000067606	ENST00000378567	ENSP00000367830	PRKCZ	134926	134379	Coding
chr1	2115902	2139172	2139172	2139172	-	ENSG00000162585	ENST00000469733		C1orf86	23270	0	Non-Coding
chr1	2121236	2123179	2121489	2122032	+	ENSG00000269554	ENST00000597060	ENSP00000473177	BC018779	1943	543	Coding
chr1	2160133	2241558	2160205	2238204	+	ENSG00000157933	ENST00000378536	ENSP00000367797	SKI	81425	77999	Coding
chr1	2252691	2323146	2252821	2322972	-	ENSG00000116151	ENST00000378531	ENSP00000367792	MORN1	70455	70151	Coding
chr1	2281852	2284259	2284259	2284259	-	ENSG00000269896	ENST00000602865		LOC100129534	2407	0	Non-Coding
chr1	2323271	2336883	2327229	2334563	+	ENSG00000157916	ENST00000605895	ENSP00000475168	RER1	13612	7334	Coding
chr1	2336257	2344010	2337204	2343941	-	ENSG00000157911	ENST00000447513	ENSP00000407922	PEX10	7753	6737	Coding
chr1	2398897	2436965	2399058	2435066	+	ENSG00000149527	ENST00000449969	ENSP00000397289	PLCH2	38068	36008	Coding
chr1	2439971	2458039	2440285	2458026	-	ENSG00000157881	ENST00000378466	ENSP00000367727	PANK4	18068	17741	Coding
chr1	2460183	2461684	2460907	2461603	-	ENSG00000197921	ENST00000378453	ENSP00000367714	HES5	1501	696	Coding
chr1	2481358	2488450	2488450	2488450	-	ENSG00000238164	ENST00000416860		LOC100133445	7092	0	Non-Coding
chr1	2487804	2495268	2488103	2494712	+	ENSG00000157873	ENST00000355716	ENSP00000347948	TNFRSF14	7464	6609	Coding
chr1	2518213	2522907	2518234	2520866	+	ENSG00000157870	ENST00000419916	ENSP00000394405	FAM213B	4694	2632	Coding
chr1	2522080	2564481	2522428	2560896	-	ENSG00000142606	ENST00000288709	ENSP00000288709	MMEL1	42401	38468	Coding
chr1	2572806	2706236	2572806	2706156	-	ENSG00000215912	ENST00000401095	ENSP00000383873	TTC34	133430	133350	Coding
chr1	2938045	2939465	2938250	2939384	+	ENSG00000169717	ENST00000378404	ENSP00000367658	ACTRT2	1420	1134	Coding
chr1	2976178	2980350	2980350	2980350	-	ENSG00000177133	ENST00000321399		FLJ42875	4172	0	Non-Coding
chr1	2985741	3355183	2985823	3350375	+	ENSG00000142611	ENST00000442529	ENSP00000405253	PRDM16	369442	364552	Coding
chr1	3370989	3397677	3379648	3397151	+	ENSG00000130762	ENST00000378378	ENSP00000367629	ARHGEF16	26688	17503	Coding
chr1	3406489	3528059	3407091	3527832	-	ENSG00000162591	ENST00000356575	ENSP00000348982	MEGF6	121570	120741	Coding
chr1	3477258	3477354	3477354	3477354	-	ENSG00000207776	ENST00000385042		MIR551A	96	0	Non-Coding
chr1	3541565	3546691	3541636	3545167	+	ENSG00000158109	ENST00000378344	ENSP00000367595	TPRG1L	5126	3531	Coding
chr1	3547330	3566637	3547538	3566563	-	ENSG00000116213	ENST00000270708	ENSP00000270708	WRAP73	19307	19025	Coding
chr1	3569083	3652765	3598929	3649643	+	ENSG00000078900	ENST00000378295	ENSP00000367545	TP73	83682	50714	Coding
chr1	3652547	3663886	3663886	3663886	-	ENSG00000227372	ENST00000452079		TP73-AS1	11339	0	Non-Coding
chr1	3668961	3688208	3669045	3688087	+	ENSG00000162592	ENST00000294600	ENSP00000294600	CCDC27	19247	19042	Coding
chr1	3689351	3692546	3691937	3692485	+	ENSG00000235169	ENST00000444870	ENSP00000457386	SMIM1	3195	548	Coding
chr1	3696783	3713068	3697651	3713040	-	ENSG00000130764	ENST00000378251	ENSP00000367498	LRRC47	16285	15389	Coding
chr1	3728644	3773763	3731965	3768971	-	ENSG00000116198	ENST00000378230	ENSP00000367476	CEP104	45119	37006	Coding
chr1	3773844	3801993	3774167	3800305	+	ENSG00000169598	ENST00000378209	ENSP00000367454	DFFB	28149	26138	Coding
chr1	3805688	3816857	3816857	3816857	-	ENSG00000198912	ENST00000474140		C1orf174	11169	0	Non-Coding
chr1	3816967	3833789	3833789	3833789	+	ENSG00000236423	ENST00000442673		LOC100133612	16822	0	Non-Coding
chr1	4000676	4015322	4015322	4015322	+	ENSG00000233304	ENST00000412674		LOC728716	14646	0	Non-Coding
chr1	4472110	4484747	4484747	4484747	+	ENSG00000235054	ENST00000423197		LOC284661	12637	0	Non-Coding
chr1	4715104	4852594	4715485	4834559	+	ENSG00000196581	ENST00000378191	ENSP00000367433	AJAP1	137490	119074	Coding
chr1	5624130	5624203	5624203	5624203	+	ENSG00000264341	ENST00000579887		MIR4417	73	0	Non-Coding
chr1	5647427	5728355	5728355	5728355	-	ENSG00000236948	ENST00000413887		AK125078	80928	0	Non-Coding
chr1	5922731	5922801	5922801	5922801	-	ENSG00000264101	ENST00000582517		MIR4689	70	0	Non-Coding
chr1	5922872	6052533	5939564	6046349	-	ENSG00000131697	ENST00000489180	ENSP00000423747	NPHP4	129661	106785	Coding
chr1	6052422	6161253	6100628	6158634	+	ENSG00000069424	ENST00000378097	ENSP00000367337	KCNAB2	108831	58006	Coding
chr1	6161852	6240183	6165427	6189087	-	ENSG00000116254	ENST00000378021	ENSP00000367260	CHD5	78331	23660	Coding
chr1	6245079	6259672	6246731	6259633	-	ENSG00000116251	ENST00000234875	ENSP00000346088	RPL22	14593	12902	Coding
chr1	6266235	6281359	6266595	6279467	+	ENSG00000158286	ENST00000377939	ENSP00000367173	RNF207	15124	12872	Coding
chr1	6281252	6296000	6285139	6295971	-	ENSG00000116237	ENST00000343813	ENSP00000343552	ICMT	14748	10832	Coding
chr1	6297830	6299504	6299504	6299504	+	ENSG00000225077	ENST00000429480		C1orf211	1674	0	Non-Coding
chr1	6304251	6305638	6304425	6305567	+	ENSG00000173673	ENST00000377898	ENSP00000367130	HES3	1387	1142	Coding
chr1	6307405	6321035	6309397	6314965	-	ENSG00000158292	ENST00000377893	ENSP00000367125	GPR153	13630	5568	Coding
chr1	6324332	6454451	6324656	6453459	-	ENSG00000097021	ENST00000361521	ENSP00000354615	ACOT7	130119	128803	Coding
chr1	6472477	6484730	6473252	6479880	-	ENSG00000069812	ENST00000377837	ENSP00000367068	HES2	12253	6628	Coding
chr1	6484847	6521004	6485015	6520206	+	ENSG00000187017	ENST00000377828	ENSP00000367059	ESPN	36157	35191	Coding
chr1	6489893	6489956	6489956	6489956	-	ENSG00000265392	ENST00000585139		MIR4252	63	0	Non-Coding
chr1	6521210	6526255	6521493	6526167	-	ENSG00000215788	ENST00000356876	ENSP00000349341	TNFRSF25	5045	4674	Coding
chr1	6526151	6580069	6527622	6579571	-	ENSG00000171680	ENST00000377748	ENSP00000366977	PLEKHG5	53918	51949	Coding
chr1	6581406	6614595	6585913	6614562	-	ENSG00000162408	ENST00000377705	ENSP00000366934	NOL9	33189	28649	Coding
chr1	6615240	6639817	6615433	6639644	+	ENSG00000173662	ENST00000333172	ENSP00000331867	TAS1R1	24577	24211	Coding
chr1	6640107	6649340	6640669	6649272	+	ENSG00000204859	ENST00000377674	ENSP00000366902	ZBTB48	9233	8603	Coding
chr1	6650783	6663061	6655424	6662877	-	ENSG00000162413	ENST00000377663	ENSP00000366891	KLHL21	12278	7453	Coding
chr1	6673744	6684093	6674126	6681697	+	ENSG00000116273	ENST00000377648	ENSP00000366876	PHF13	10349	7571	Coding
chr1	6685251	6695646	6685278	6694148	+	ENSG00000041988	ENST00000377627	ENSP00000366854	THAP3	10395	8870	Coding
chr1	6694227	6761984	6695734	6761860	-	ENSG00000007923	ENST00000377577	ENSP00000366800	DNAJC11	67757	66126	Coding
chr1	6845383	7829766	6845590	7826551	+	ENSG00000171735	ENST00000303635	ENSP00000306522	CAMTA1	984383	980961	Coding
chr1	7831328	7841492	7831443	7839705	+	ENSG00000049245	ENST00000054666	ENSP00000054666	VAMP3	10164	8262	Coding
chr1	7844713	7905237	7844937	7902815	+	ENSG00000049246	ENST00000377532	ENSP00000366755	PER3	60524	57878	Coding
chr1	7903142	7913572	7904002	7913063	-	ENSG00000049247	ENST00000377516	ENSP00000366738	UTS2	10430	9061	Coding
chr1	7979906	8000926	7980894	8000054	-	ENSG00000049249	ENST00000377507	ENSP00000366729	TNFRSF9	21020	19160	Coding
chr1	8021722	8045339	8022845	8045114	+	ENSG00000116288	ENST00000338639	ENSP00000340278	PARK7	23617	22269	Coding
chr1	8071778	8086368	8073269	8075679	-	ENSG00000116285	ENST00000377482	ENSP00000366702	ERRFI1	14590	2410	Coding
chr1	8384389	8404227	8384389	8404073	+	ENSG00000162426	ENST00000289877	ENSP00000289877	SLC45A1	19838	19684	Coding
chr1	8412456	8877524	8415146	8716356	-	ENSG00000142599	ENST00000337907	ENSP00000338629	RERE	465068	301210	Coding
chr1	8921060	8938749	8921418	8934967	-	ENSG00000074800	ENST00000234590	ENSP00000234590	ENO1	17689	13549	Coding
chr1	8938893	8939953	8939953	8939953	+	ENSG00000230679	ENST00000442636		ENO1-AS1	1060	0	Non-Coding
chr1	9005941	9035151	9005945	9034763	+	ENSG00000131686	ENST00000377443	ENSP00000366662	CA6	29210	28818	Coding
chr1	9063358	9086404	9063358	9086404	-	ENSG00000197241	ENST00000400906	ENSP00000383698	SLC2A7	23046	23046	Coding
chr1	9101843	9148537	9101843	9129595	-	ENSG00000142583	ENST00000486632	ENSP00000465507	SLC2A5	46694	27752	Coding
chr1	9160363	9189229	9164477	9189086	-	ENSG00000180758	ENST00000377411	ENSP00000366628	GPR157	28866	24609	Coding
chr1	9211726	9211836	9211836	9211836	-	ENSG00000207865	ENST00000385130		MIR34A	110	0	Non-Coding
chr1	9294833	9331396	9304993	9324928	+	ENSG00000049239	ENST00000377403	ENSP00000366620	H6PD	36563	19935	Coding
chr1	9352938	9429591	9415950	9427634	+	ENSG00000171621	ENST00000328089	ENSP00000330221	SPSB1	76653	11684	Coding
chr1	9497727	9497837	9497837	9497837	-	ENSG00000252956	ENST00000517147		5S_rRNA	110	0	Non-Coding
chr1	9599540	9645237	9599750	9642559	+	ENSG00000171612	ENST00000302692	ENSP00000306328	SLC25A33	45697	42809	Coding
chr1	9648931	9674935	9648988	9673141	+	ENSG00000188807	ENST00000377376	ENSP00000366593	TMEM201	26004	24153	Coding
chr1	9711789	9789172	9770513	9787104	+	ENSG00000171608	ENST00000536656	ENSP00000446444	PIK3CD	77383	16591	Coding
chr1	9712667	9714644	9713836	9714494	-	ENSG00000179840	ENST00000377320	ENSP00000366537	C1orf200	1977	658	Coding
chr1	9732483	9747613	9747613	9747613	-	ENSG00000231789	ENST00000415330		BC038541	15130	0	Non-Coding
chr1	9789083	9884584	9790565	9883791	-	ENSG00000171603	ENST00000377298	ENSP00000366513	CLSTN1	95501	93226	Coding
chr1	9908333	9970321	9910775	9932122	-	ENSG00000178585	ENST00000377263	ENSP00000366474	CTNNBIP1	61988	21347	Coding
chr1	9988996	10003387	9990456	9996677	-	ENSG00000162441	ENST00000377223	ENSP00000366430	LZIC	14391	6221	Coding
chr1	10003485	10045556	10032131	10042759	+	ENSG00000173614	ENST00000377205	ENSP00000366410	NMNAT1	42071	10628	Coding
chr1	10057263	10076078	10057316	10064257	+	ENSG00000162444	ENST00000315901	ENSP00000324228	RBP7	18815	6941	Coding
chr1	10093015	10241289	10161166	10240014	+	ENSG00000130939	ENST00000377157	ENSP00000366362	UBE4B	148274	78848	Coding
chr1	10271673	10441661	10292386	10436645	+	ENSG00000054523	ENST00000377086	ENSP00000366290	KIF1B	169988	144259	Coding
chr1	10459136	10480201	10459174	10479806	+	ENSG00000142657	ENST00000270776	ENSP00000270776	PGD	21065	20632	Coding
chr1	10490158	10512210	10490574	10511652	+	ENSG00000251503	ENST00000400900	ENSP00000383692	APITD1-CORT	22052	21078	Coding
chr1	10490158	10512210	10490574	10511458	+	ENSG00000175279	ENST00000602296	ENSP00000473401	APITD1-CORT	22052	20884	Coding
chr1	10509775	10511959	10510280	10511652	+	ENSG00000241563	ENST00000377049	ENSP00000366248	CORT	2184	1372	Coding
chr1	10516578	10532583	10521546	10532515	-	ENSG00000160049	ENST00000377038	ENSP00000366237	DFFA	16005	10969	Coding
chr1	10534943	10690815	10535023	10690044	+	ENSG00000142655	ENST00000356607	ENSP00000349016	PEX14	155872	155021	Coding
chr1	10696660	10856705	10698998	10753946	-	ENSG00000130940	ENST00000377022	ENSP00000366221	CASZ1	160045	54948	Coding
chr1	11006529	11042094	11007719	11042094	-	ENSG00000175262	ENST00000377004	ENSP00000366203	C1orf127	35565	34375	Coding
chr1	11072698	11084100	11073784	11082711	+	ENSG00000120948	ENST00000240185	ENSP00000240185	TARDBP	11402	8927	Coding
chr1	11086579	11107280	11086941	11107264	-	ENSG00000009724	ENST00000400897	ENSP00000383690	MASP2	20701	20323	Coding
chr1	11114645	11120081	11114921	11120000	-	ENSG00000116649	ENST00000376957	ENSP00000366156	SRM	5436	5079	Coding
chr1	11126674	11159938	11126774	11159888	-	ENSG00000171824	ENST00000376936	ENSP00000366135	EXOSC10	33264	33114	Coding
chr1	11166591	11322564	11167541	11319466	-	ENSG00000198793	ENST00000361445	ENSP00000354558	MTOR	155973	151925	Coding
chr1	11203954	11209594	11209594	11209594	+	ENSG00000225602	ENST00000445982		MTOR-AS1	5640	0	Non-Coding
chr1	11249397	11256038	11249636	11255080	+	ENSG00000171819	ENST00000376819	ENSP00000366015	ANGPTL7	6641	5444	Coding
chr1	11333262	11348491	11333588	11346188	+	ENSG00000120942	ENST00000376810	ENSP00000366006	UBIAD1	15229	12600	Coding
chr1	11539294	11597641	11561049	11596743	+	ENSG00000204624	ENST00000294484	ENSP00000294484	PTCHD2	58347	35694	Coding
chr1	11708423	11714739	11708750	11714397	-	ENSG00000116661	ENST00000354287	ENSP00000346240	FBXO2	6316	5647	Coding
chr1	11714913	11723384	11715892	11721330	+	ENSG00000132879	ENST00000376770	ENSP00000365961	FBXO44	8471	5438	Coding
chr1	11724180	11734411	11728715	11733908	+	ENSG00000116663	ENST00000376753	ENSP00000365944	FBXO6	10231	5193	Coding
chr1	11734536	11751707	11734831	11740658	-	ENSG00000116670	ENST00000235310	ENSP00000235310	MAD2L2	17171	5827	Coding
chr1	11751785	11785914	11766315	11779753	+	ENSG00000162490	ENST00000294485	ENSP00000294485	DRAXIN	34129	13438	Coding
chr1	11796140	11810767	11796265	11810161	+	ENSG00000177674	ENST00000376637	ENSP00000365824	AGTRAP	14627	13896	Coding
chr1	11821843	11849641	11821843	11849503	+	ENSG00000215910	ENST00000433342	ENSP00000414909	C1orf167	27798	27660	Coding
chr1	11845779	11863302	11850736	11863173	-	ENSG00000177000	ENST00000376592	ENSP00000365777	MTHFR	17523	12437	Coding
chr1	11866206	11903201	11866319	11889360	+	ENSG00000011021	ENST00000312413	ENSP00000308367	CLCN6	36995	23041	Coding
chr1	11901073	11907741	11907741	11907741	+	ENSG00000242349	ENST00000446542		NPPA-AS1	6668	0	Non-Coding
chr1	11905765	11907840	11906065	11907741	-	ENSG00000175206	ENST00000376480	ENSP00000365663	NPPA	2075	1676	Coding
chr1	11917520	11918988	11917711	11918890	-	ENSG00000120937	ENST00000376468	ENSP00000365651	NPPB	1468	1179	Coding
chr1	11979647	11986480	11980371	11986294	-	ENSG00000116685	ENST00000376572	ENSP00000365756	KIAA2013	6833	5923	Coding
chr1	11994809	12035594	11994836	12034865	+	ENSG00000083444	ENST00000196061	ENSP00000196061	PLOD1	40785	40029	Coding
chr1	12040237	12073571	12049225	12071622	+	ENSG00000116688	ENST00000444836	ENSP00000416338	MFN2	33334	22397	Coding
chr1	12079522	12092102	12081783	12091865	+	ENSG00000116691	ENST00000235332	ENSP00000235332	MIIP	12580	10082	Coding
chr1	12123433	12204264	12123655	12202588	+	ENSG00000120949	ENST00000263932	ENSP00000263932	TNFRSF8	80831	78933	Coding
chr1	12227059	12269285	12227148	12267077	+	ENSG00000028137	ENST00000376259	ENSP00000365435	TNFRSF1B	42226	39929	Coding
chr1	12251769	12251830	12251830	12251830	+	ENSG00000263676	ENST00000584158		MIR4632	61	0	Non-Coding
chr1	12290123	12572099	12294323	12569078	+	ENSG00000048707	ENST00000358136	ENSP00000350854	VPS13D	281976	274755	Coding
chr1	12567299	12567451	12567451	12567451	+	ENSG00000239149	ENST00000459326		SNORA59B	152	0	Non-Coding
chr1	12627938	12677737	12628368	12677353	-	ENSG00000162496	ENST00000376223	ENSP00000365397	DHRS3	49799	48985	Coding
chr1	12704565	12727097	12704565	12726746	+	ENSG00000204518	ENST00000376221	ENSP00000365395	AADACL4	22532	22181	Coding
chr1	12776117	12788726	12776343	12785963	+	ENSG00000188984	ENST00000332530	ENSP00000333352	AADACL3	12609	9620	Coding
chr1	12806162	12823847	12806378	12820884	+	ENSG00000157330	ENST00000288048	ENSP00000288048	C1orf158	17685	14506	Coding
chr1	12834983	12838049	12835010	12837742	+	ENSG00000116726	ENST00000357726	ENSP00000350358	PRAMEF12	3066	2732	Coding
chr1	12851545	12856777	12853376	12856145	+	ENSG00000116721	ENST00000332296	ENSP00000332134	PRAMEF1	5232	2769	Coding
chr1	12884467	12891264	12884799	12888523	-	ENSG00000204513	ENST00000535591	ENSP00000439551	PRAMEF11	6797	3724	Coding
chr1	12907260	12908578	12907260	12908142	-	ENSG00000179172	ENST00000317869	ENSP00000365370	HNRNPCL1	1318	882	Coding
chr1	12916940	12921764	12918864	12921634	+	ENSG00000120952	ENST00000240189	ENSP00000240189	PRAMEF2	4824	2770	Coding
chr1	12939044	12946025	12939364	12943215	-	ENSG00000243073	ENST00000235349	ENSP00000235349	PRAMEF4	6981	3851	Coding
chr1	12952726	12958101	12952746	12955678	-	ENSG00000187545	ENST00000235347	ENSP00000235347	PRAMEF10	5375	2932	Coding
chr1	12976449	12980569	12977512	12980233	+	ENSG00000204510	ENST00000361079	ENSP00000354371	PRAMEF8	4120	2721	Coding
chr1	12998483	13117736	12998504	13112680	-	ENSG00000232423	ENST00000376192	ENSP00000365363	PRAMEF5	119253	114176	Coding
chr1	13035542	13038381	13035542	13038381	+	ENSG00000204508	ENST00000376187	ENSP00000365358	PRAMEF22	2839	2839	Coding
chr1	13182959	13184326	13184326	13184326	-	ENSG00000179412	ENST00000449855		LOC440563	1367	0	Non-Coding
chr1	13328195	13331692	13328832	13331671	-	ENSG00000204503	ENST00000376173	ENSP00000365343	PRAMEF3	3497	2839	Coding
